"Report Written:","Monday, April 03, 2017"
"Design Path:","C:\Users\David\Documents\EV\LyteFyba\trunk\PCB\MidCMU.pcb"
"Design Title:",
"Created:","2/03/2012 9:46:00 AM"
"Last Saved:","3/04/2017 6:15:34 PM"
"Editing Time:","177327 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","THD-DNP","Component","Description","Value","Package","Manufacturer","MPN","Digikey","Mouser"
"R3c","1","","R","Resistor","150k 0.1%","0805 HV","Yageo","RT0805BRD07150KL","http://www.digikey.com.au/product-detail/en/yageo/RT0805BRD07150KL/YAG1784CT-ND/5139232","http://au.mouser.com/ProductDetail/TE-Connectivity-Neohm/CPF0805B150KE1/?qs=sGAEpiMZZMu61qfTUdNhG9jkP7wV505sFcY3dz0E3BA%3d"
"R4c","1","","R","Resistor","150k 0.1%","0805 HV","Yageo","RT0805BRD07150KL","http://www.digikey.com.au/product-detail/en/yageo/RT0805BRD07150KL/YAG1784CT-ND/5139232","http://au.mouser.com/ProductDetail/TE-Connectivity-Neohm/CPF0805B150KE1/?qs=sGAEpiMZZMu61qfTUdNhG9jkP7wV505sFcY3dz0E3BA%3d"
"R3b","1","","R","Resistor","150k 0.1%","0805 HV","Yageo","RT0805BRD07150KL","http://www.digikey.com.au/product-detail/en/yageo/RT0805BRD07150KL/YAG1784CT-ND/5139232","http://au.mouser.com/ProductDetail/TE-Connectivity-Neohm/CPF0805B150KE1/?qs=sGAEpiMZZMu61qfTUdNhG9jkP7wV505sFcY3dz0E3BA%3d"
"R3a","1","","R","Resistor","150k 0.1%","0805 HV","Yageo","RT0805BRD07150KL","http://www.digikey.com.au/product-detail/en/yageo/RT0805BRD07150KL/YAG1784CT-ND/5139232","http://au.mouser.com/ProductDetail/TE-Connectivity-Neohm/CPF0805B150KE1/?qs=sGAEpiMZZMu61qfTUdNhG9jkP7wV505sFcY3dz0E3BA%3d"
"R4b","1","","R","Resistor","150k 0.1%","0805 HV","Yageo","RT0805BRD07150KL","http://www.digikey.com.au/product-detail/en/yageo/RT0805BRD07150KL/YAG1784CT-ND/5139232","http://au.mouser.com/ProductDetail/TE-Connectivity-Neohm/CPF0805B150KE1/?qs=sGAEpiMZZMu61qfTUdNhG9jkP7wV505sFcY3dz0E3BA%3d"
"R4a","1","","R","Resistor","150k 0.1%","0805 HV","Yageo","RT0805BRD07150KL","http://www.digikey.com.au/product-detail/en/yageo/RT0805BRD07150KL/YAG1784CT-ND/5139232","http://au.mouser.com/ProductDetail/TE-Connectivity-Neohm/CPF0805B150KE1/?qs=sGAEpiMZZMu61qfTUdNhG9jkP7wV505sFcY3dz0E3BA%3d"
"R7","1","","R","Resistor","237k 0.1%","M1608","Panasonic","ERA-3AEB2373V","http://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERA-3AEB2373V/P237KDBCT-ND/3075878","http://au.mouser.com/ProductDetail/Susumu/RG1608P-2373-B-T5/?qs=sGAEpiMZZMu61qfTUdNhG%2fDhcyQpRg8MsQS6iz2Yh6A%3d"
"R9","1","","R","Resistor","237k 0.1%","M1608","Panasonic","ERA-3AEB2373V","http://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERA-3AEB2373V/P237KDBCT-ND/3075878","http://au.mouser.com/ProductDetail/Susumu/RG1608P-2373-B-T5/?qs=sGAEpiMZZMu61qfTUdNhG%2fDhcyQpRg8MsQS6iz2Yh6A%3d"
"R2","1","","R","Resistor","237k 0.1%","M1608","Panasonic","ERA-3AEB2373V","http://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERA-3AEB2373V/P237KDBCT-ND/3075878","http://au.mouser.com/ProductDetail/Susumu/RG1608P-2373-B-T5/?qs=sGAEpiMZZMu61qfTUdNhG%2fDhcyQpRg8MsQS6iz2Yh6A%3d"
"R8","1","","R","Resistor","237k 0.1%","M1608","Panasonic","ERA-3AEB2373V","http://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERA-3AEB2373V/P237KDBCT-ND/3075878","http://au.mouser.com/ProductDetail/Susumu/RG1608P-2373-B-T5/?qs=sGAEpiMZZMu61qfTUdNhG%2fDhcyQpRg8MsQS6iz2Yh6A%3d"
"R6","1","","R","Resistor","510R","M1608","Yageo","RC0603JR-07510RL","http://www.digikey.com.au/product-detail/en/yageo/RC0603JR-07510RL/311-510GRCT-ND/729748","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-07510RL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTRqRDCgzhNGB6TLTedpTT7uTr1f%2fm7iNsA%3d%3d"
"R14","1","","R","Resistor","510R","M1608","Yageo","RC0603JR-07510RL","http://www.digikey.com.au/product-detail/en/yageo/RC0603JR-07510RL/311-510GRCT-ND/729748","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-07510RL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTRqRDCgzhNGB6TLTedpTT7uTr1f%2fm7iNsA%3d%3d"
"R11","1","","R","Resistor","750k","M1608","Yageo","RC0603JR-07750KL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-07750KL/311-750KGRCT-ND/729773","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-07750KL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTZA3mG3YA%252bCzDewhbgzrC3mFJ6vxvJy95A%3d%3d"
"B1","1","DNP","R","Resistor","Incandescent lamp","T-1-3_4 lamp","Visual Communications Company","2181","https://www.digikey.com.au/product-detail/en/visual-communications-company-vcc/2181/CM2181-ND/3151432","http://au.mouser.com/ProductDetail/JKL-Components/2181/?qs=sGAEpiMZZMuSFBMFeRq2EXVNJElXobfD"
"C1","1","THD","Supercap","Electrolytic Capacitor","1F","DSCV","Nichicon","JUWT1105MCD","http://www.digikey.com.au/product-detail/en/JUWT1105MCD/493-4330-ND/2538684","http://au.mouser.com/ProductDetail/Nichicon/JUWT1105MCD/?qs=sGAEpiMZZMuDCPMZUZ%252bYlyNqirnUiET6sdD%2fG1RiaPs%3d"
"U2","1","","VREG","","NCP699SN25T1G","SOT23-5","ON Semiconductor","NCP699SN25T1G","http://www.digikey.com.au/product-detail/en/NCP699SN25T1G/NCP699SN25T1GOSCT-ND/1630377","http://au.mouser.com/ProductDetail/ON-Semiconductor/NCP699SN25T1G/?qs=mYaVSTb8pgXa0yZcwT2dMfGi60B%252b6NCoCQhajRPclGU%3d"
"XT1","1","","XTAL SMD","","","MC-146","Abracon","AB26TRQ-32.768KHZ-T","http://www.digikey.com.au/product-detail/en/abracon-llc/AB26TRQ-32.768KHZ-T/535-12051-1-ND/3915232","http://au.mouser.com/ProductDetail/ABRACON/AB26TRQ-32768kHz-T/?qs=%2fha2pyFaduiwCubQFluEcgslH06Y0PnXisq21sTgHsSHTRMw%252bCRT3%252bUEoWbbGnyT"
